user_id,latest_user_notification_seen
14972,2023-03-14 17:10:35.355+00
13,2023-03-10 06:23:32.324+00
235102,2023-03-09 04:49:05.577+00
8,2023-03-08 20:32:26.528+00
37103,2023-03-08 17:26:35.635+00
40518,2023-03-06 20:20:57.643+00
27359,2023-03-04 02:41:17.623+00
5476,2023-03-03 18:39:44.344+00
2,2023-03-03 12:24:52.83+00
7244,2023-02-22 08:00:21.542+00
12,2023-02-14 21:20:43.156+00
227949,2023-02-14 19:54:57.038+00
3,2023-01-04 16:57:18.878+00
6,2022-12-29 01:27:06.841+00
102,2022-12-19 22:19:34.434+00
5466,2022-12-19 21:18:58.151+00
43691,2022-12-06 19:50:10.881+00
7,2022-10-03 19:02:09.673+00
48608,2022-08-05 20:42:12.943+00
1964,2022-08-01 17:49:51.17+00
23295,2022-04-12 14:51:06.972+00
402,2022-03-10 02:53:34.498+00
49985,2022-02-14 19:51:37.781+00
10175,2022-02-09 17:37:44.08+00
49047,2022-01-24 22:06:02.015+00
49039,2022-01-24 16:50:41.052+00
8118,2022-01-14 23:32:49.274+00
24056,2021-12-08 16:39:17.915+00
11524,2021-11-21 18:27:08.333+00
40523,2021-11-20 10:24:00.889+00
40517,2021-11-20 09:27:49.091+00
40741,2021-11-18 21:59:46.544+00
40521,2021-11-18 21:55:46.481+00
9655,2021-11-10 15:05:10.884+00
46,2021-10-21 00:13:13.436+00
27623,2021-08-03 22:22:04.222+00
547,2021-08-02 16:00:37.975+00
25737,2021-07-10 18:39:23.421+00
6205,2021-07-09 01:41:24.739+00
24306,2021-06-20 15:20:16.325+00
487,2021-05-05 12:30:32.341+00
18143,2021-04-17 16:51:25.46+00
4188,2021-04-10 00:30:52.935+00
15642,2021-04-06 18:31:30.365+00
14848,2021-03-28 17:50:43.24+00
14851,2021-03-28 16:41:18.608+00
1,2021-03-26 15:12:06.329+00
14183,2021-03-20 19:47:55.933+00
14184,2021-03-20 17:31:53.153+00
13810,2021-03-14 22:22:47.063+00
13812,2021-03-14 21:10:02.118+00
13431,2021-03-07 20:46:32.595+00
13433,2021-03-07 19:43:11.635+00
12985,2021-02-28 14:22:07.536+00
12986,2021-02-28 14:09:11.461+00
12079,2021-02-22 12:21:17.721+00
12443,2021-02-21 16:11:44.154+00
12444,2021-02-21 15:27:32.988+00
90,2021-02-17 21:43:33.075+00
6198,2021-02-17 21:42:34.352+00
11992,2021-02-13 16:27:42.002+00
11979,2021-02-13 15:25:37.879+00
11978,2021-02-13 14:06:55.969+00
10624,2021-02-13 10:55:01.057+00
384,2021-02-05 20:16:14.396+00
10634,2021-01-30 16:02:51.789+00
10625,2021-01-30 15:40:26.197+00
3211,2021-01-30 00:52:53.265+00
10278,2021-01-23 16:27:56.771+00
10277,2021-01-23 16:16:46.013+00
9929,2021-01-17 19:30:37.338+00
9930,2021-01-17 18:32:04.462+00
9351,2021-01-16 16:11:29.066+00
9503,2021-01-10 19:25:38.771+00
9506,2021-01-10 18:28:28.808+00
9132,2021-01-05 10:59:49.195+00
9075,2021-01-04 20:02:41.882+00
9078,2021-01-04 19:46:30.25+00
370,2021-01-04 18:41:20.788+00
31,2021-01-02 20:05:45.863+00
8632,2020-12-26 19:28:04.988+00
8625,2020-12-26 19:25:18.735+00
372,2020-12-21 17:53:04.196+00
8315,2020-12-20 21:45:15.063+00
8321,2020-12-20 20:57:41.208+00
371,2020-12-18 20:59:18.149+00
8090,2020-12-16 16:00:29.244+00
7944,2020-12-16 13:26:23.535+00
2595,2020-12-10 20:13:20.707+00
5544,2020-11-05 03:53:50.453+00
4810,2020-10-24 22:29:14.27+00
434,2020-10-23 03:10:17.576+00
378,2020-10-22 18:38:26.472+00
310,2020-10-20 22:27:39.014+00
350,2020-10-20 18:29:39.805+00
