handle_lc,amount
collegemusic,27906
wuki,27021
cooprecsmusic,24236
trillsammy,19776
skrillex,16445
alunaaa,16439
3lau,15758
zedd,14786
disclosure,14578
katoproducer,14381
bitbird,14183
josephb401,13799
kitaurasyuji1,12322
stewartx,11388
maekimaii,11070
lilhbk,10678
camouflybeats,10411
alinabaraz,10117
kennybeats,10099
borgore,9712
kayzomusic,9391
mrcarmack,9339
deadmau5,9120
masego,8988
goodsociety,8786
rac,8774
irradio,8123
jumpmanntr,7938
brokenblythe,7908
chillhopmusic,7684
kutt4life,7646
noodz,7220
odesza,7170
drippieverse,7155
kissinginlove,7146
kumocollective,6546
10dv,6444
madeintyo,6293
xcelencia,6129
dreameaterism,6021
teambandl,6010
boyjugo,5974
zensupremacy,5884
arifvip,5841
phuture,5840
headroom_records,5685
dmvu,5674
dillonfrancis,5586
cheatcodesmusic,5568
lido,5485
rlgrime,5432
sablevalley,5326
lofibeat,5296
broeybeats,5282
packrecs,5238
edditter,5223
connorprice_,5185
dvechs,5167
eime,5085
ljazz_beats,5083
blondish,5055
syntheksizer,4891
hypertraffic,4884
_fatnick,4769
ollieraps,4764
brentindavis,4749
uezuriiwav,4725
snomad1,4699
pavelduglas,4586
cribb,4578
romeinsilver,4551
lookoutloren,4539
alcynoos,4407
unlikepluto,4379
hasenchat,4378
byte,4359
fuxwithitblog,4353
tomhschmidt,4342
1w_u,4303
zedsdead,4264
zunapalooza,4231
cletusy,4148
destinuna,4129
officialrezz,4057
crassonmusic,4013
destructoamf,3959
kayremix,3900
harriscole,3897
lc_odyssee,3897
xdmrecords,3847
eazybaked,3843
hi_mija,3818
iration,3811
starlight,3797
powfu,3758
miquela,3754
milkz,3731
6eve9,3728
purrplecatmusic,3725
langvmusic,3708
chromonicci,3669
oshimakesmusic,3653
makzo,3644
angelbaby,3630
dirtybird,3622
capshun,3606
itsvincent_,3595
sahtyre,3472
aarrkellz,3424
slowheal0,3419
uniiqu3,3410
warpsound_ai,3405
subtronics,3399
guiyeralex,3381
blaketree,3357
quok,3350
kapslap,3322
dirtyaudio,3305
snoozegod,3300
sabba,3300
ivylab,3299
behind_cloud9,3297
_abjo,3294
boysnoize,3277
anjunadeep,3247
tokegod,3208
blackholerec,3173
tsuruda,3133
candyfliprecords,3125
roycemusic,3115
darnellwilliams,3092
peaktwilight,3086
girlpowa,3075
prodbymiracle,3071
smilehighclub,3041
ardenrecords,3015
auggievelarde,3008
marlusmusic,2981
finnuh,2973
anishkumar,2967
wakajaq,2940
imnoahguy,2935
rijell,2934
zazabeats,2925
tysu,2880
tetsarri,2873
paulineherr,2861
kevinthemonkey,2856
dabowmusic,2855
decapmusic,2837
xangriffin,2829
camarcher,2827
joeypecoraro,2827
laxcitymusic,2818
hiroyuki1006ina,2813
wearestereofox,2804
unitedbytruth,2785
gba,2770
smashrecordsent,2770
sencillomqm,2765
marsjam67,2760
jad_,2737
