challenge_id,user_id,specifier,is_complete,current_step_count,completed_blocknumber,amount,created_at,completed_at
c,563006280,218ecb48:202511,t,0,94297787,1,2025-03-14 20:10:32+00,2025-03-14 20:10:32
e,563006280,218ecb48_20250314,f,1,,7,2025-03-14 20:10:17+00,
e,415165487,18beec2f_20250314,f,1,,7,2025-03-14 20:08:55+00,
c,739066124,2c0d410c:202511,t,0,94297729,1,2025-03-14 20:08:33+00,2025-03-14 20:08:33
e,67209659,40189bb_20250314,f,1,,7,2025-03-14 20:07:57+00,
e,314459,4cc5b_20250314,f,1,,7,2025-03-14 20:07:53+00,
c,67209659,40189bb:202511,t,0,94297678,1,2025-03-14 20:07:07+00,2025-03-14 20:07:07
c,987917950,3ae26e7e:202511,t,0,94297662,1,2025-03-14 20:06:34+00,2025-03-14 20:06:34
c,632713020,25b66f3c:202511,t,0,94297658,1,2025-03-14 20:06:28+00,2025-03-14 20:06:28
e,496236464,1d93f7b0_20250314,f,1,,7,2025-03-14 20:05:25+00,
c,282477173,10d64275:202511,t,0,94297621,1,2025-03-14 20:05:12+00,2025-03-14 20:05:12
e,282477173,10d64275_20250314,f,1,,7,2025-03-14 20:05:03+00,
e,724334706,2b2c7872_20250314,f,1,,7,2025-03-14 20:04:47+00,
e,632713020,25b66f3c_20250314,f,1,,7,2025-03-14 20:04:24+00,
e,788893594,2f058f9a_20250314,f,1,,7,2025-03-14 20:04:14+00,
e,108827003,67c917b_20250314,f,1,,7,2025-03-14 20:03:55+00,
e,180188,2bfdc_20250314,t,1,317411665,1,2025-03-14 20:02:18+00,2025-03-14 20:02:18
e,841029631,322117ff_20250314,f,1,,7,2025-03-14 20:01:14+00,
c,841029631,322117ff:202511,t,0,94297490,1,2025-03-14 20:01:06+00,2025-03-14 20:01:06
e,780744681,2e8937e9_20250314,f,1,,7,2025-03-14 19:59:56+00,
c,678307222,286e2596:202511,t,0,94297411,1,2025-03-14 19:58:36+00,2025-03-14 19:58:36
e,678307222,286e2596_20250314,f,1,,7,2025-03-14 19:58:21+00,
e,258655155,f6ac3b3_20250314,f,1,,7,2025-03-14 19:58:13+00,
c,258655155,f6ac3b3:202511,t,0,94297396,1,2025-03-14 19:58:08+00,2025-03-14 19:58:08
e,561517851,2178151b_20250314,f,1,,7,2025-03-14 19:56:23+00,
c,350493,5591d:202511,t,0,94297300,1,2025-03-14 19:55:01+00,2025-03-14 19:55:01
e,40717,9f0d_20250314,t,1,317411473,1,2025-03-14 19:54:00+00,2025-03-14 19:54:00
e,470165125,1c062685_20250314,t,1,317411465,1,2025-03-14 19:53:30+00,2025-03-14 19:53:30
e,350493,5591d_20250314,f,1,,7,2025-03-14 19:52:16+00,
e,987080730,3ad5a81a_20250314,f,1,,7,2025-03-14 19:52:15+00,
e,722469516,2b10028c_20250314,f,1,,7,2025-03-14 19:51:55+00,
c,52309,cc55:202511,t,0,94297185,1,2025-03-14 19:51:23+00,2025-03-14 19:51:23
e,52309,cc55_20250314,f,1,,7,2025-03-14 19:51:10+00,
e,525858408,1f57f668_20250314,f,1,,7,2025-03-14 19:50:40+00,
e,415770807,18c828b7_20250314,f,1,,7,2025-03-14 19:50:39+00,
e,966946694,39a26f86_20250314,f,1,,7,2025-03-14 19:49:06+00,
e,444704269,1a81a60d_20250314,f,1,,7,2025-03-14 19:47:45+00,
e,517675221,1edb18d5_20250314,f,1,,7,2025-03-14 19:46:31+00,
e,915793949,3695e81d_20250314,f,1,,7,2025-03-14 19:45:57+00,
c,991071,f1f5f:202511,t,0,94296985,1,2025-03-14 19:45:03+00,2025-03-14 19:45:03
e,991071,f1f5f_20250314,f,1,,7,2025-03-14 19:44:32+00,
e,97956,17ea4_20250314,t,1,317411266,1,2025-03-14 19:43:25+00,2025-03-14 19:43:25
e,291710020,11632444_20250314,f,1,,7,2025-03-14 19:42:47+00,
e,471189062,1c15c646_20250314,f,1,,7,2025-03-14 19:42:38+00,
e,62772116,3bdd394_20250314,f,1,,7,2025-03-14 19:41:25+00,
e,148442633,8d90e09_20250314,f,1,,7,2025-03-14 19:40:13+00,
e,150682,24c9a_20250314,f,1,,7,2025-03-14 19:39:12+00,
e,524612664,1f44f438_20250314,f,1,,7,2025-03-14 19:39:11+00,
c,1721,6b9:202511,t,0,94296800,1,2025-03-14 19:39:00+00,2025-03-14 19:39:00
e,597419205,239be4c5_20250314,t,1,317411175,1,2025-03-14 19:38:08+00,2025-03-14 19:38:08
e,912986780,366b129c_20250314,f,1,,7,2025-03-14 19:37:49+00,
e,447647938,1aae90c2_20250314,f,1,,7,2025-03-14 19:37:32+00,
e,2038081,1f1941_20250314,t,1,317411154,1,2025-03-14 19:36:50+00,2025-03-14 19:36:50
c,148656348,8dc50dc:202511,t,0,94296726,1,2025-03-14 19:36:38+00,2025-03-14 19:36:38
e,52355889,31ee331_20250314,f,1,,7,2025-03-14 19:36:12+00,
e,267782636,ff609ec_20250314,f,1,,7,2025-03-14 19:32:56+00,
e,959806607,39357c8f_20250314,f,1,,7,2025-03-14 19:32:19+00,
e,234909,3959d_20250314,f,1,,7,2025-03-14 19:26:41+00,
c,312100230,129a4586:202511,t,0,94296395,1,2025-03-14 19:26:09+00,2025-03-14 19:26:09
e,148656348,8dc50dc_20250314,f,1,,7,2025-03-14 19:26:04+00,
e,417165635,18dd7143_20250314,f,1,,7,2025-03-14 19:24:20+00,
c,982857877,3a953895:202511,t,0,94296263,1,2025-03-14 19:21:10+00,2025-03-14 19:21:10
e,982857877,3a953895_20250314,f,1,,7,2025-03-14 19:20:28+00,
e,721070854,2afaab06_20250314,f,1,,7,2025-03-14 19:18:46+00,
e,269821640,101526c8_20250314,f,1,,7,2025-03-14 19:17:04+00,
e,838694172,31fd751c_20250314,f,1,,7,2025-03-14 19:15:01+00,
e,26739,6873_20250314,f,1,,7,2025-03-14 19:13:18+00,
e,5274,149a_20250314,f,1,,7,2025-03-14 19:13:15+00,
c,6896,1af0:202511,t,0,94295999,1,2025-03-14 19:11:48+00,2025-03-14 19:11:48
e,634911147,25d7f9ab_20250314,f,1,,7,2025-03-14 19:11:35+00,
e,453333886,1b05537e_20250314,f,1,,7,2025-03-14 19:11:11+00,
e,6896,1af0_20250314,f,1,,7,2025-03-14 19:10:01+00,
c,372714,5afea:202511,t,0,94295882,1,2025-03-14 19:07:45+00,2025-03-14 19:07:45
c,29401,72d9:202511,t,0,94295844,1,2025-03-14 19:06:19+00,2025-03-14 19:06:19
e,942398,e613e_20250314,f,1,,7,2025-03-14 19:05:26+00,
e,917339310,36ad7cae_20250314,f,1,,7,2025-03-14 19:05:07+00,
c,14563,38e3:202511,t,0,94295726,1,2025-03-14 19:02:23+00,2025-03-14 19:02:23
e,155983337,94c1de9_20250314,f,1,,7,2025-03-14 19:00:10+00,
e,837050002,31e45e92_20250314,f,1,,7,2025-03-14 18:56:44+00,
e,276517,43825_20250314,f,1,,7,2025-03-14 18:56:41+00,
e,107566882,6695722_20250314,f,1,,7,2025-03-14 18:56:12+00,
e,432665041,19c9f1d1_20250314,f,1,,7,2025-03-14 18:55:57+00,
e,613104216,248b3a58_20250314,f,1,,7,2025-03-14 18:54:43+00,
e,371692,5abec_20250314,f,1,,7,2025-03-14 18:53:56+00,
