challenge_id,user_id,specifier,is_complete,current_step_count,completed_blocknumber,amount,created_at,completed_at
e,505301628,1e1e4a7c_20250324,t,1,317814291,1,2025-03-24 23:59:16+00,2025-03-24 23:59:16
e,685543049,28dc8e89_20250324,f,1,,7,2025-03-24 23:59:02+00,
e,854164815,32e9854f_20250324,f,1,,7,2025-03-24 23:54:21+00,
e,693227491,2951cfe3_20250324,f,1,,7,2025-03-24 23:47:17+00,
e,69949699,42b5903_20250324,f,1,,7,2025-03-24 23:46:04+00,
e,102006,18e76_20250324,t,1,317813784,1,2025-03-24 23:45:18+00,2025-03-24 23:45:18
e,322145,4ea61_20250324,t,1,317813590,1,2025-03-24 23:39:57+00,2025-03-24 23:39:57
e,397473,610a1_20250324,f,3,,7,2025-03-24 23:33:37+00,
e,783252567,2eaf7c57_20250324,f,1,,7,2025-03-24 23:31:24+00,
e,230426,3841a_20250324,t,1,317813215,1,2025-03-24 23:29:32+00,2025-03-24 23:29:32
e,778286,be02e_20250324,f,1,,7,2025-03-24 23:28:37+00,
e,684297629,28c98d9d_20250324,f,3,,7,2025-03-24 23:27:57+00,
e,287209790,111e793e_20250324,f,1,,7,2025-03-24 23:27:03+00,
e,591144064,233c2480_20250324,t,1,317812929,1,2025-03-24 23:21:41+00,2025-03-24 23:21:41
e,1166298,11cbda_20250324,t,1,317812845,1,2025-03-24 23:19:18+00,2025-03-24 23:19:18
e,208852,32fd4_20250324,f,2,,7,2025-03-24 23:18:13+00,
e,338913,52be1_20250324,f,1,,7,2025-03-24 23:14:32+00,
e,660326896,275bc9f0_20250324,f,1,,7,2025-03-24 23:12:50+00,
e,779971774,2e7d6cbe_20250324,f,1,,7,2025-03-24 23:12:34+00,
e,990092928,3b039e80_20250324,f,1,,7,2025-03-24 23:05:31+00,
e,40561,9e71_20250324,f,1,,7,2025-03-24 23:04:23+00,
e,431984928,19bf9120_20250324,f,1,,7,2025-03-24 23:04:00+00,
e,775511627,2e395e4b_20250324,f,1,,7,2025-03-24 23:02:13+00,
e,114892,1c0cc_20250324,f,2,,7,2025-03-24 23:01:21+00,
e,318469,4dc05_20250324,f,1,,7,2025-03-24 23:01:01+00,
e,244649262,e950d2e_20250324,f,1,,7,2025-03-24 23:00:39+00,
e,48839,bec7_20250324,f,2,,7,2025-03-24 22:59:42+00,
e,416518613,18d391d5_20250324,f,1,,7,2025-03-24 22:59:37+00,
e,203753098,c25068a_20250324,t,1,317812117,1,2025-03-24 22:59:29+00,2025-03-24 22:59:29
e,248172016,ecacdf0_20250324,f,1,,7,2025-03-24 22:57:41+00,
e,257111,3ec57_20250324,f,1,,7,2025-03-24 22:55:45+00,
e,914786391,36868857_20250324,t,1,317811922,1,2025-03-24 22:54:12+00,2025-03-24 22:54:12
e,903391779,35d8aa23_20250324,f,2,,7,2025-03-24 22:50:43+00,
e,68864594,41aca52_20250324,f,1,,7,2025-03-24 22:47:38+00,
e,104326,19786_20250324,t,1,317811413,1,2025-03-24 22:40:24+00,2025-03-24 22:40:24
e,97418,17c8a_20250324,f,1,,7,2025-03-24 22:39:38+00,
e,574089290,2237e84a_20250324,f,1,,7,2025-03-24 22:32:21+00,
e,14563,38e3_20250324,t,1,317811083,1,2025-03-24 22:30:58+00,2025-03-24 22:30:58
e,328825,50479_20250324,t,1,317811007,1,2025-03-24 22:28:57+00,2025-03-24 22:28:57
e,826366193,314158f1_20250324,f,1,,7,2025-03-24 22:28:48+00,
e,105826,19d62_20250324,t,1,317810830,1,2025-03-24 22:23:51+00,2025-03-24 22:23:51
e,945248296,38575828_20250324,f,1,,7,2025-03-24 22:23:06+00,
e,656421589,272032d5_20250324,f,1,,7,2025-03-24 22:19:17+00,
e,2816,b00_20250324,f,1,,7,2025-03-24 22:18:11+00,
e,679476230,287ffc06_20250324,f,1,,7,2025-03-24 22:17:41+00,
e,586755809,22f92ee1_20250324,f,1,,7,2025-03-24 22:13:19+00,
e,372987698,163b5732_20250324,f,1,,7,2025-03-24 22:08:05+00,
e,124399,1e5ef_20250324,f,1,,7,2025-03-24 22:07:07+00,
e,307344,4b090_20250324,t,1,317810161,1,2025-03-24 22:05:59+00,2025-03-24 22:05:59
e,371392387,1622ff83_20250324,f,1,,7,2025-03-24 22:03:30+00,
e,324124853,1351c0b5_20250324,f,1,,7,2025-03-24 22:01:26+00,
